Graph,Random Critical Fraction,Targeted Critical Fraction,Average Shortest Path Length,Average Clustering Coefficient,No. Connected Components
UsSignal,0.30158730158730157,0.09523809523809523,6.02568306010929,0.0,3
Twaren,0.5,0.1,2.6315789473684212,0.0,1
Pern,0.14960629921259844,0.023622047244094488,4.54618172728409,0.00408017179670723,1
Dfn,0.46551724137931033,0.05172413793103448,3.1820931639443435,0.1388640095536647,1
Cernet,0.34146341463414637,0.07317073170731707,2.9365853658536585,0.4433507549361208,1
Bellcanada,0.2916666666666667,0.08333333333333333,5.3138297872340425,0.15,1
Kdl,0.16578249336870027,0.04907161803713528,22.72654386873373,0.028337754199823165,1
Bren,0.16216216216216217,0.02702702702702703,3.84984984984985,0.0,1
Nsfnet,0.38461538461538464,0.23076923076923078,2.423076923076923,0.0,1
Savvis,0.3157894736842105,0.10526315789473684,3.8421052631578947,0.0,1
BsonetEurope,0.3888888888888889,0.16666666666666666,2.7516339869281046,0.10714285714285715,1
Sprint,0.36363636363636365,0.36363636363636365,1.8909090909090909,0.36363636363636365,1
Cwix,0.3055555555555556,0.08333333333333333,3.750793650793651,0.05632716049382716,1
Garr201004,0.3333333333333333,0.09259259259259259,3.5506638714185885,0.056668537224092784,1
Cynet,0.3,0.03333333333333333,2.8988505747126436,0.0,1
Myren,0.4594594594594595,0.05405405405405406,2.6681681681681684,0.009111384111384112,1
Gridnet,0.5555555555555556,0.4444444444444444,1.4444444444444444,0.6000000000000001,1
HiberniaNireland,0.16666666666666666,0.2222222222222222,3.4379084967320264,0.09259259259259259,1
Atmnet,0.19047619047619047,0.19047619047619047,4.276190476190476,0.0,1
Garr201109,0.2711864406779661,0.05084745762711865,3.5973115137346583,0.05510196018670595,1
Compuserve,0.5,0.21428571428571427,2.2967032967032965,0.0,1
AttMpls,0.52,0.24,2.3833333333333333,0.5561269841269841,1
Garr201103,0.29310344827586204,0.05172413793103448,3.62129461584997,0.052986764193660746,1
Belnet2009,0.42857142857142855,0.09523809523809523,3.4095238095238094,0.0,1
Garr201007,0.2727272727272727,0.05454545454545454,3.538720538720539,0.05543617998163453,1
Esnet,0.1323529411764706,0.07352941176470588,4.3230904302019315,0.03398905016552075,1
Napnet,0.5,0.3333333333333333,1.5333333333333334,0.4777777777777778,1
Switch,0.2702702702702703,0.10810810810810811,6.092188078489448,0.10977048477048477,1
Garr201108,0.2711864406779661,0.05084745762711865,3.6160140268848626,0.054593241033919,1
Belnet2003,0.2608695652173913,0.08695652173913043,2.1699604743083003,0.6438923395445135,1
Arpanet19719,0.3333333333333333,0.2222222222222222,3.320261437908497,0.07407407407407407,1
Pacificwave,0.3888888888888889,0.1111111111111111,2.3006535947712417,0.3974867724867725,1
KentmanJul2005,0.3125,0.125,2.8916666666666666,0.07708333333333334,1
HostwayInternational,0.1875,0.375,3.283333333333333,0.2604166666666667,1
Shentel,0.32142857142857145,0.14285714285714285,4.738095238095238,0.10714285714285714,1
Marnet,0.55,0.1,1.9842105263157894,0.3793300653594771,1
